State,Category,Subcategory,Estimated Population,State Population
Alabama,Ancestry,American,830195,4874747
Alaska,Ancestry,American,21878,739795
Arizona,Ancestry,American,235203,7016270
Arkansas,Ancestry,American,319216,3004279
California,Ancestry,American,1177010,39536653
Colorado,Ancestry,American,215713,5607154
Connecticut,Ancestry,American,132773,3588184
Delaware,Ancestry,American,139091,961939
District of Columbia,Ancestry,American,16269,693972
Florida,Ancestry,American,1660224,20984400
Georgia,Ancestry,American,1122093,10429379
Hawaii,Ancestry,American,17278,1427538
Idaho,Ancestry,American,110020,1716943
Illinois,Ancestry,American,469033,12802023
Indiana,Ancestry,American,573696,6666818
Iowa,Ancestry,American,146785,3145711
Kansas,Ancestry,American,174401,2913123
Kentucky,Ancestry,American,674143,4454189
Louisiana,Ancestry,American,365125,4684333
Maine,Ancestry,American,93418,1335907
Maryland,Ancestry,American,295341,6052177
Massachusetts,Ancestry,American,252742,6859819
Michigan,Ancestry,American,532473,9962311
Minnesota,Ancestry,American,171703,5576606
Mississippi,Ancestry,American,330517,2984100
Missouri,Ancestry,American,492389,6113532
Montana,Ancestry,American,57134,1050493
Nebraska,Ancestry,American,63462,1920076
Nevada,Ancestry,American,109462,2998039
New Hampshire,Ancestry,American,52536,1342795
New Jersey,Ancestry,American,297889,9005644
New Mexico,Ancestry,American,83594,2088070
New York,Ancestry,American,1048697,19849399
North Carolina,Ancestry,American,1096935,10273419
North Dakota,Ancestry,American,22346,755393
Ohio,Ancestry,American,801186,11658609
Oklahoma,Ancestry,American,300078,3930864
Oregon,Ancestry,American,192331,4142776
Pennsylvania,Ancestry,American,581836,12805537
Rhode Island,Ancestry,American,32756,1059639
South Carolina,Ancestry,American,566078,5024369
South Dakota,Ancestry,American,31543,869666
Tennessee,Ancestry,American,863686,6715984
Texas,Ancestry,American,1604684,28304596
Utah,Ancestry,American,141761,3101833
Vermont,Ancestry,American,52497,623657
Virginia,Ancestry,American,759976,8470020
Washington,Ancestry,American,289207,7405743
West Virginia,Ancestry,American,207610,1815857
Wisconsin,Ancestry,American,169691,5795483
Wyoming,Ancestry,American,29126,579315
Alabama,Ancestry,Arab,11098,4874747
Alaska,Ancestry,Arab,964,739795
Arizona,Ancestry,Arab,37756,7016270
Arkansas,Ancestry,Arab,6354,3004279
California,Ancestry,Arab,307727,39536653
Colorado,Ancestry,Arab,27526,5607154
Connecticut,Ancestry,Arab,25776,3588184
Delaware,Ancestry,Arab,3630,961939
District of Columbia,Ancestry,Arab,4810,693972
Florida,Ancestry,Arab,114791,20984400
Georgia,Ancestry,Arab,35001,10429379
Hawaii,Ancestry,Arab,3348,1427538
Idaho,Ancestry,Arab,2797,1716943
Illinois,Ancestry,Arab,106724,12802023
Indiana,Ancestry,Arab,18959,6666818
Iowa,Ancestry,Arab,7505,3145711
Kansas,Ancestry,Arab,9496,2913123
Kentucky,Ancestry,Arab,12503,4454189
Louisiana,Ancestry,Arab,15525,4684333
Maine,Ancestry,Arab,3837,1335907
Maryland,Ancestry,Arab,29151,6052177
Massachusetts,Ancestry,Arab,69232,6859819
Michigan,Ancestry,Arab,211539,9962311
Minnesota,Ancestry,Arab,22478,5576606
Mississippi,Ancestry,Arab,8870,2984100
Missouri,Ancestry,Arab,23346,6113532
Montana,Ancestry,Arab,469,1050493
Nebraska,Ancestry,Arab,7116,1920076
Nevada,Ancestry,Arab,9481,2998039
New Hampshire,Ancestry,Arab,11971,1342795
New Jersey,Ancestry,Arab,101326,9005644
