"","YEAR","MONTH","DAY_OF_MONTH","Region","NumFlights","NumCancels","NumWeatherCancels","NumCarrierCancels","NumNatAirSys","NumSecurity"
"1",2017,1,1,"East",2123,10,1,9,0,0
"2",2017,1,1,"Mid",2065,7,2,3,2,0
"3",2017,1,1,"South",4682,21,1,19,1,0
"4",2017,1,1,"West",4967,55,21,34,0,0
"5",2017,1,2,"East",2455,24,16,6,2,0
"6",2017,1,2,"Mid",2500,89,82,3,4,0
"7",2017,1,2,"South",5381,127,70,53,4,0
"8",2017,1,2,"West",5420,109,78,14,17,0
"9",2017,1,3,"East",2366,20,4,8,8,0
"10",2017,1,3,"Mid",2400,57,36,13,8,0
"11",2017,1,3,"South",5199,38,14,19,5,0
"12",2017,1,3,"West",5262,161,73,29,59,0
"13",2017,1,4,"East",2301,7,4,3,0,0
"14",2017,1,4,"Mid",2341,23,18,2,3,0
"15",2017,1,4,"South",4980,37,23,14,0,0
"16",2017,1,4,"West",5009,154,105,17,32,0
"17",2017,1,5,"East",2304,11,3,8,0,0
"18",2017,1,5,"Mid",2385,36,22,11,3,0
"19",2017,1,5,"South",5098,44,19,24,1,0
"20",2017,1,5,"West",5080,196,145,25,26,0
"21",2017,1,6,"East",2311,119,47,21,5,46
"22",2017,1,6,"Mid",2393,83,43,26,4,10
"23",2017,1,6,"South",5119,633,354,138,11,130
"24",2017,1,6,"West",5121,95,44,34,5,12
"25",2017,1,7,"East",1825,463,316,51,67,29
"26",2017,1,7,"Mid",1789,139,90,21,23,5
"27",2017,1,7,"South",4193,738,529,108,61,40
"28",2017,1,7,"West",4239,223,164,24,29,6
"29",2017,1,8,"East",2165,149,91,23,35,0
"30",2017,1,8,"Mid",2330,48,24,20,4,0
"31",2017,1,8,"South",4907,173,104,53,16,0
"32",2017,1,8,"West",4829,402,242,75,85,0
"33",2017,1,9,"East",2440,32,6,23,3,0
"34",2017,1,9,"Mid",2602,23,11,5,7,0
"35",2017,1,9,"South",5169,58,33,22,3,0
"36",2017,1,9,"West",5004,203,113,31,59,0
"37",2017,1,10,"East",2344,38,15,13,10,0
"38",2017,1,10,"Mid",2519,176,112,12,52,0
"39",2017,1,10,"South",4930,49,26,17,6,0
"40",2017,1,10,"West",4727,240,140,19,81,0
"41",2017,1,11,"East",2362,24,9,13,2,0
"42",2017,1,11,"Mid",2546,67,60,4,3,0
"43",2017,1,11,"South",5018,18,8,10,0,0
"44",2017,1,11,"West",4842,118,79,35,4,0
"45",2017,1,12,"East",2442,8,3,5,0,0
"46",2017,1,12,"Mid",2618,52,36,9,7,0
"47",2017,1,12,"South",5237,13,3,6,4,0
"48",2017,1,12,"West",5009,30,7,15,8,0
"49",2017,1,13,"East",2439,15,9,3,3,0
"50",2017,1,13,"Mid",2620,61,53,5,3,0
"51",2017,1,13,"South",5239,56,50,4,2,0
"52",2017,1,13,"West",5055,34,26,8,0,0
"53",2017,1,14,"East",1760,94,93,1,0,0
"54",2017,1,14,"Mid",1788,65,60,3,2,0
"55",2017,1,14,"South",3935,57,46,10,1,0
"56",2017,1,14,"West",4024,36,27,9,0,0
"57",2017,1,15,"East",2015,11,6,5,0,0
"58",2017,1,15,"Mid",2127,94,87,5,2,0
"59",2017,1,15,"South",4483,100,58,42,0,0
"60",2017,1,15,"West",4469,56,41,15,0,0
"61",2017,1,16,"East",2409,15,9,6,0,0
"62",2017,1,16,"Mid",2587,129,118,7,4,0
"63",2017,1,16,"South",5161,74,56,18,0,0
"64",2017,1,16,"West",4985,42,26,16,0,0
"65",2017,1,17,"East",2343,4,2,2,0,0
"66",2017,1,17,"Mid",2503,38,28,6,4,0
"67",2017,1,17,"South",4924,11,3,8,0,0
"68",2017,1,17,"West",4727,85,40,39,6,0
"69",2017,1,18,"East",2369,11,3,2,6,0
"70",2017,1,18,"Mid",2528,6,3,1,2,0
"71",2017,1,18,"South",5021,13,4,8,1,0
"72",2017,1,18,"West",4841,142,88,17,37,0
"73",2017,1,19,"East",2446,14,0,5,9,0
"74",2017,1,19,"Mid",2602,22,19,2,1,0
"75",2017,1,19,"South",5234,13,2,9,2,0
"76",2017,1,19,"West",5011,41,27,12,2,0
"77",2017,1,20,"East",2444,9,4,3,2,0
"78",2017,1,20,"Mid",2608,41,36,5,0,0
"79",2017,1,20,"South",5247,36,17,17,2,0
"80",2017,1,20,"West",5048,113,89,13,11,0
"81",2017,1,21,"East",1800,4,1,3,0,0
"82",2017,1,21,"Mid",1828,53,47,6,0,0
